,title,pitchfork,bnm,year,artist,genre,fantano,_merge
2620,xen,8.4,1.0,2014.0,arca,experimental,6.0,both
2623,keep you,7.3,0.0,2014.0,pianos become the teeth,rock,4.0,both
2626,run the jewels 2,9.0,1.0,2014.0,run the jewels,rap,8.0,both
2628,lifer,6.9,0.0,2014.0,dope body,rock,8.0,both
2639,if there's a hell below,7.3,0.0,2014.0,black milk,rap,6.0,both
2640,if there's a hell below,7.3,0.0,2014.0,black milk,pop/r&b,6.0,both
2656,soused,7.4,0.0,2014.0,scott walker + sunn o))),,6.0,both
2682,bestial burden,8.4,1.0,2014.0,pharmakon,experimental,5.0,both
2693,...and star power,7.0,0.0,2014.0,foxygen,rock,2.0,both
2704,plowing into the field of love,8.5,1.0,2014.0,iceage,rock,9.0,both
2705,wonder where we land,5.5,0.0,2014.0,sbtrkt,rock,5.0,both
2706,wonder where we land,5.5,0.0,2014.0,sbtrkt,electronic,5.0,both
2716,our love,8.6,1.0,2014.0,caribou,rock,6.0,both
2722,a world lit only by fire,8.0,0.0,2014.0,godflesh,,7.0,both
2737,everything will be alright in the end,6.5,0.0,2014.0,weezer,rock,7.0,both
2740,a toothpaste suburb,7.8,0.0,2014.0,milo,rap,5.0,both
2741,tomorrow's modern boxes,6.3,0.0,2014.0,thom yorke,rock,6.0,both
2742,tomorrow's modern boxes,6.3,0.0,2014.0,thom yorke,electronic,6.0,both
2746,time to die,7.9,0.0,2014.0,electric wizard,,5.0,both
2755,nehruviandoom,5.6,0.0,2014.0,nehruviandoom,rap,5.0,both
2762,tyranny,4.9,0.0,2014.0,julian casablancas + the voidz,,7.0,both
2770,unknown memory,3.6,0.0,2014.0,yung lean,rap,4.0,both
2774,too bright,8.5,1.0,2014.0,perfume genius,rock,8.0,both
2775,too bright,8.5,1.0,2014.0,perfume genius,experimental,8.0,both
2776,this is all yours,4.0,0.0,2014.0,alt-j,rock,7.0,both
2781,syro,8.7,1.0,2014.0,aphex twin,electronic,6.0,both
2785,dude incredible,8.0,0.0,2014.0,shellac,rock,6.0,both
2805,royal blood,5.6,0.0,2014.0,royal blood,rock,5.0,both
2808,this is my hand,7.0,0.0,2014.0,my brightest diamond,rock,7.0,both
2818,the physical world,7.0,0.0,2014.0,death from above 1979,rock,6.0,both
2828,goddess,5.0,0.0,2014.0,banks,pop/r&b,5.0,both
2833,el pintor,5.9,0.0,2014.0,interpol,rock,6.0,both
2838,primitive and deadly,7.0,0.0,2014.0,earth,rock,6.0,both
2839,primitive and deadly,7.0,0.0,2014.0,earth,metal,6.0,both
2841,anchor,5.1,0.0,2014.0,zammuto,electronic,6.0,both
2848,indigo child,6.5,0.0,2014.0,raury,rap,4.0,both
2866,pale communion,4.3,0.0,2014.0,opeth,metal,5.0,both
2869,green language,7.2,0.0,2014.0,rustie,electronic,3.0,both
2871,annabel dream reader,5.8,0.0,2014.0,the wytches,,8.0,both
2875,manipulator,7.8,0.0,2014.0,ty segall,rock,6.0,both
2876,angels & devils,6.7,0.0,2014.0,the bug,electronic,6.0,both
2902,foundations of burden,8.6,1.0,2014.0,pallbearer,metal,6.0,both
2907,lp1,8.8,1.0,2014.0,fka twigs,pop/r&b,8.0,both
2908,lp1,8.8,1.0,2014.0,fka twigs,electronic,8.0,both
2909,worlds,6.9,0.0,2014.0,porter robinson,electronic,5.0,both
2934,they want my soul,8.6,1.0,2014.0,spoon,rock,7.0,both
2955,lese majesty,8.2,0.0,2014.0,shabazz palaces,rap,5.0,both
2964,nobody's smiling,7.7,0.0,2014.0,common,rap,6.0,both
2973,trouble in paradise,6.5,0.0,2014.0,la roux,rock,8.0,both
2974,trouble in paradise,6.5,0.0,2014.0,la roux,electronic,8.0,both
